state,s_code,code,s_district,s_municipality
Schleswig-Holstein,010535318046,01053046,Gudow,Büchen
Schleswig-Holstein,010535318048,01053048,Güster,Büchen
Schleswig-Holstein,010535318064,01053064,Klein Pampau,Büchen
Schleswig-Holstein,010535318080,01053080,Langenlehsten,Büchen
Schleswig-Holstein,010535318092,01053092,Müssen,Büchen
Schleswig-Holstein,010535318104,01053104,Roseburg,Büchen
Schleswig-Holstein,010535318115,01053115,Schulendorf,Büchen
Schleswig-Holstein,010535318119,01053119,Siebeneichen,Büchen
Schleswig-Holstein,010535318126,01053126,Tramm,Büchen
Schleswig-Holstein,010535318132,01053132,Witzeeze,Büchen
Schleswig-Holstein,010535323,,Amt Hohe Elbgeest,Dassendorf
Schleswig-Holstein,010535323003,01053003,Aumühle,Dassendorf
Schleswig-Holstein,010535323012,01053012,Börnsen,Dassendorf
Schleswig-Holstein,010535323023,01053023,Dassendorf,Dassendorf
Schleswig-Holstein,010535323028,01053028,Escheburg,Dassendorf
Schleswig-Holstein,010535323050,01053050,Hamwarde,Dassendorf
Schleswig-Holstein,010535323053,01053053,Hohenhorn,Dassendorf
Schleswig-Holstein,010535323072,01053072,Kröppelshagen-Fahrendorf,Dassendorf
Schleswig-Holstein,010535323131,01053131,Wiershop,Dassendorf
Schleswig-Holstein,010535323133,01053133,Wohltorf,Dassendorf
Schleswig-Holstein,010535323135,01053135,Worth,Dassendorf
Schleswig-Holstein,010535343,,Amt Lütau,Lauenburg/Elbe
Schleswig-Holstein,010535343006,01053006,Basedow,Lauenburg/Elbe
Schleswig-Holstein,010535343019,01053019,Buchhorst,Lauenburg/Elbe
Schleswig-Holstein,010535343022,01053022,Dalldorf,Lauenburg/Elbe
Schleswig-Holstein,010535343058,01053058,Juliusburg,Lauenburg/Elbe
Schleswig-Holstein,010535343073,01053073,Krüzen,Lauenburg/Elbe
Schleswig-Holstein,010535343074,01053074,Krukow,Lauenburg/Elbe
Schleswig-Holstein,010535343082,01053082,Lanze,Lauenburg/Elbe
Schleswig-Holstein,010535343087,01053087,Lütau,Lauenburg/Elbe
Schleswig-Holstein,010535343111,01053111,Schnakenbek,Lauenburg/Elbe
Schleswig-Holstein,010535343128,01053128,Wangelau,Lauenburg/Elbe
Schleswig-Holstein,010535358,,Amt Lauenburgische Seen,Ratzeburg
Schleswig-Holstein,010535358001,01053001,Albsfelde,Ratzeburg
Schleswig-Holstein,010535358004,01053004,Bäk,Ratzeburg
Schleswig-Holstein,010535358016,01053016,Brunsmark,Ratzeburg
Schleswig-Holstein,010535358018,01053018,Buchholz,Ratzeburg
Schleswig-Holstein,010535358026,01053026,Einhaus,Ratzeburg
Schleswig-Holstein,010535358030,01053030,Fredeburg,Ratzeburg
